_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
62272,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,10,153,"FEB 2, 2017",NA,NA,NA,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1972,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,5,6,2,12,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6S,NA,YES,NA,TCHC,REAR OF BUILDING,4155922,NO,NO,NO,3725  DUNDAS ST W,YES,YES,1972,YES,BOTH,04,SINGLE PANE,1972,1992,2017,NA,NA,NA,NA,NA,NA,NA,NA
65726,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,11,219,"AUG 24, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Unknown,YES,YES,NA,ORIGINAL,1988,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,4,4,3,16,YES,YES,"Underground Garage , Garage accessible thru buildg",M4H,NA,YES,NA,TCHC,NA,4154175,NO,NO,NO,12  THORNCLIFFE PARK DR ,YES,YES,1988,YES,UNAVAILABLE,15,DOUBLE PANE,1988,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62273,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,15,201,"FEB 15, 2016",NA,NA,NA,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1971,HOT WATER,YES,YES,NO,YES,YES,TBD,MAIN FLOOR,NO,5,10,3,16,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1T,NA,YES,NA,TCHC,REAR OF BUILDING,4155942,NO,NO,NO,2743  VICTORIA PARK AVE ,YES,YES,1971,YES,BOTH,22,DOUBLE PANE,1971,1997,2017,NA,NA,NA,NA,NA,NA,NA,NA
62274,INDIVIDUAL UNITS,NA,YES,YES,YES,YES,NO,Not Available,4,15,NA,NA,NA,NA,NA,NA,NO,NO,Recycling bins,YES,NO,NA,REPLACED,2018,HOT WATER,NO,YES,NO,NO,YES,24/7,GROUND FLOOR ,YES,0,NA,0,2,YES,YES,"Ground Level Garage , Surface Parking",M4B,NA,YES,GREENWIN CORP.,PRIVATE,BY GARBAGE BINS,4155950,NO,YES,NO,5  STAG HILL DR ,YES,YES,2012,NA,UNAVAILABLE,19,DOUBLE PANE,1953,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
62275,NONE,NA,YES,NO,YES,YES,YES,Not Available,15,100,"SEP 21, 2020",NA,NA,NA,ELEVATOR MODERNIZATION,REPLACED,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1969,HOT WATER,YES,YES,NO,YES,YES,24 HOURS,SECOND FLOOR,NO,100,0,2,12,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,NA,YES,NA,PRIVATE,NORTH SIDE OF BUILDING,4155962,NO,YES,NO,1085  STEELES AVE W,NO,NA,NA,YES,FREE,06,DOUBLE PANE,1969,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
62276,NONE,NA,YES,NO,YES,NO,NO,Not Available,3,25,NA,NA,NA,NA,NA,NA,YES,NO,Green Bin / Organics,YES,NO,NA,ORIGINAL,1997,HOT WATER,NO,YES,YES,YES,YES,7:00 AM - 11 PM,BASEMENT,NO,0,0,0,8,NO,YES,Surface Parking,M8W,NA,YES,NA,SOCIAL HOUSING,NA,4156001,NO,YES,NO,15  FORTY THIRD ST ,YES,YES,1953,NA,FREE,03,DOUBLE PANE,1953,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
65727,NONE,NA,YES,NO,YES,YES,NO,Not Available,7,47,"AUG 15, 2015",NA,NA,NA,NA,ORIGINAL,NA,NO,Recycling bins,YES,YES,NA,REPLACED,1998,FORCED AIR GAS,YES,YES,NO,NO,YES,8:00 A.M. - 9:00 P.M.,"BASEMENT, 3RD FLOOR, 5TH FLOOR",YES,1,36,1,8,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5M,NA,YES,LLOYD ZERKER REALTY LIMITED,PRIVATE,P,4154661,NO,YES,NO,595  BROOKDALE AVE ,NO,NA,NA,NO,FREE,08,SINGLE PANE,1970,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
65728,NONE,NA,YES,YES,YES,YES,NO,Not Available,3,26,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE THE BUILDING,REPLACED,2009,FORCED AIR GAS,NO,YES,NO,NO,YES,24 HOURS,BASEMENT ,YES,0,28,0,4,NO,YES,"Ground Level Garage , Carport , Surface Parking",M5M,NA,YES,HIGH VALUE CONSULTANTS LTD,PRIVATE,OUTSIDE THE BUILDING,4154667,NO,YES,NO,211  WILSON AVE ,NO,NA,NA,NA,UNAVAILABLE,08,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
65729,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,5,125,"DEC 31, 2014",NA,NA,NA,FULL REPLACEMENT - PORTA-FLEX,REPLACED,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,1982,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1,10,2,16,YES,YES,Surface Parking,M5M,NA,YES,NA,TCHC,REAR OF BUILDING,4154670,NO,NO,NO,193  WILSON AVE ,YES,YES,1982,NO,BOTH,08,DOUBLE PANE,1982,2000,2017,NA,NA,NA,NA,NA,NA,NA,NA
62277,CENTRAL AIR,"Outdoor pool , Outdoor rec facilities , Sauna",YES,YES,YES,YES,YES,67 indoor parking spots and 8 outdoor parking spots,28,216,"SEP 28, 2016",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BEHIND BUILDINGS,ORIGINAL,1969,HOT WATER,NO,YES,YES,YES,YES,8:00AM - 10:00PM,GROUND FLOOR,YES,0,2,3,20,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4T,NON-AGGRESSIVE,YES,QUADREAL PROPERTY GROUP,PRIVATE,BEHIND BUILDINGS,4156003,NO,YES,NO,33  ROSEHILL AVE ,YES,YES,1969,YES,FREE,12,DOUBLE PANE,1969,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62278,NONE,NA,YES,YES,YES,YES,NO,Not Available,7,169,"JUN 11, 2015",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,MIDDLE EAST SIDE,REPLACED,1995,HOT WATER,NO,YES,NO,NO,YES,9 AM TO 10 PM,FIRST & SECOND FLOOR,YES,0,0,2,18,YES,YES,"Ground Level Garage , Surface Parking",M1K,NA,NO,WALL REAL ESTATE,PRIVATE,MIDDLE EAST SIDE,4152685,NO,YES,NO,2303  EGLINTON AVE E,YES,YES,2000,YES,BOTH,20,DOUBLE PANE,1968,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62279,NONE,NA,NO,NO,YES,YES,YES,Not Available,7,118,"MAR 15, 2017",NA,NA,NA,NA,REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2005,HOT WATER,NO,YES,NO,NO,YES,8:00 AM - 10:00 PM,GROUND FLOOR,NO,0,1,2,15,NO,YES,"Ground Level Garage , Surface Parking",M1K,NA,YES,MARBROOK DEVELOPMENTS LTD. ,PRIVATE,EAST SIDE OF PROPERTY,4152686,NO,NO,NO,2293  EGLINTON AVE E,YES,NO,1960,NO,FREE,20,DOUBLE PANE,1960,2013,2017,NA,NA,NA,NA,NA,NA,NA,NA
62280,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,34,"DEC 16, 2016",NA,NA,NA,NA,ORIGINAL,NA,YES,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,1998,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,1,35,1,5,YES,YES,"Underground Garage , Ground Level Garage , Carport , Surface Parking",M1K,APARTMENT FRIENDLY,YES,MPC PROPERTIES INC.,PRIVATE,OUTDOOR,4152704,NO,NO,NO,807  KENNEDY RD ,YES,YES,2014,YES,UNAVAILABLE,21,DOUBLE PANE,1969,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62281,NONE,NA,YES,NO,YES,YES,NO,Not Available,6,62,"OCT 15, 2014",NA,NA,NA,NA,REPLACED,YES,NO,Recycling bins,YES,NO,NA,REPLACED,1995,HOT WATER,NO,YES,NO,YES,YES,7:00 AM - 10:00 PM,SECOND FLOOR,YES,0,0,1,12,NO,YES,"Ground Level Garage , Surface Parking",M1K,LEGAL BREEDS ONLY,YES,508 DAWES RD. LTD.,PRIVATE,PARKING LOT,4152706,NO,NO,NO,819  KENNEDY RD ,YES,YES,1961,YES,UNAVAILABLE,21,DOUBLE PANE,1961,2005,2017,NA,NA,NA,NA,NA,NA,NA,NA
62282,NONE,NA,YES,NO,YES,YES,NO,Not Available,4,26,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,DRIVEWAY,REPLACED,1998,HOT WATER,NO,YES,NO,NO,YES,YES,BASEMENT,YES,0,28,0,2,YES,YES,"Ground Level Garage , Surface Parking",M6L,N/A,NO,N/A,PRIVATE,DRIVEWAY,4154310,NO,YES,NO,2567  KEELE ST ,YES,YES,1958,NA,UNAVAILABLE,05,DOUBLE PANE,1958,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62283,NONE,NA,YES,NO,YES,YES,NO,Not Available,3,12,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2010,HOT WATER,NO,YES,NO,NO,YES,24 HRS,NA,YES,0,18,0,6,NO,YES,"Underground Garage , Surface Parking",M6L,NA,YES,NA,PRIVATE,OUTDOOR,4154313,NO,YES,NO,2605  KEELE ST ,NO,NA,NA,NA,FREE,05,DOUBLE PANE,1950,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62284,NONE,NA,YES,NO,YES,YES,NO,Not Available,3,11,NA,NA,NA,NA,NA,NA,YES,NO,Green Bin / Organics,YES,NO,SOUTH WEST,REPLACED,2011,FORCED AIR GAS,NO,YES,NO,YES,YES,7AM TO 11PM,BASEMENT,YES,0,9,0,2,YES,YES,"Ground Level Garage , Surface Parking",M6L,NA,YES,CORREL HOLDINGS INC.,PRIVATE,SOUTH WEST,4154314,NO,NO,NO,2623  KEELE ST ,NO,NA,NA,NA,UNAVAILABLE,05,DOUBLE PANE,1965,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
62285,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 0 outdoor parking spots,15,102,"MAR 22, 2017",NA,NA,NA,NA,ORIGINAL,NO,YES,Green Bin / Organics,YES,YES,OUTDOORS,REPLACED,1974,HOT WATER,YES,YES,NO,YES,YES,7AM - 11PM,MAIN FLOOR,YES,10,0,2,6,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M9N,NA,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4154330,NO,YES,NO,1747-1755  JANE ST ,YES,YES,1974,YES,BOTH,05,DOUBLE PANE,1971,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
