Address,Longitude,Latitude,Neighbourhood,Apartment Building,Apartment Building Property Type,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,Property Management Or Landlord,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By
135 Isabella St,-79.377284,43.669022,North St.James Town,TRUE,PRIVATE,1960,2017,79,9,Toking Properties,2019-12-03,73,TRUE,2019-06-07,FALSE,,
80 Blake St,-79.3393776,43.6745205,Blake-Jones,TRUE,TCHC,1969,2017,190,14,TCH,2021-04-21,77,FALSE,,FALSE,,
40 Parkcrest Dr,-79.2199851,43.7353074,Scarborough Village,TRUE,PRIVATE,1967,2017,100,12,Canlight Management Inc.,2019-11-20,84,FALSE,,FALSE,,
3111 Eglinton Ave E,-79.2240382,43.7415977,Scarborough Village,TRUE,PRIVATE,1953,2017,68,6,Cogir Management Corporation,2020-11-10,71,FALSE,,FALSE,,
450 Scarborough Golf Club Rd,-79.215972,43.754423,Woburn,TRUE,SOCIAL HOUSING,1991,2017,112,5,,2021-04-22,86,FALSE,,FALSE,,
2788 Keele St,-79.4827839,43.7283162,Downsview-Roding-CFB,TRUE,PRIVATE,1962,2017,41,4,Greenwin Corp.,2019-11-18,72,FALSE,,FALSE,,
2850 Keele St,-79.48358,43.7312543,Downsview-Roding-CFB,TRUE,PRIVATE,1963,2017,12,3,,2019-11-18,85,FALSE,,FALSE,,
1300 York Mills Rd,-79.323751,43.76197,Parkwoods-Donalda,TRUE,PRIVATE,1965,2017,112,8,Ranee Management,2021-04-19,74,FALSE,,FALSE,,
1531 Bathurst St,-79.4188901,43.6856499,Forest Hill South,TRUE,PRIVATE,1943,2017,32,4,,2020-11-04,80,FALSE,,FALSE,,
612 Dawes Rd,-79.2958976,43.70738,O'Connor-Parkview,TRUE,PRIVATE,1959,2017,60,5,Akelius Canada Ltd,2020-12-09,73,FALSE,,FALSE,,
114 Barrington Ave,-79.3026688,43.6923797,Taylor-Massey,TRUE,PRIVATE,1968,2017,12,3,,2020-11-18,70,FALSE,,FALSE,,
39 Raglan Ave,-79.4199518,43.6847848,Humewood-Cedarvale,TRUE,PRIVATE,1967,2017,101,9,39 Raglan Ave Limited,2019-11-28,75,FALSE,,FALSE,,
1570 Bathurst St,-79.4198613,43.685997,Humewood-Cedarvale,TRUE,PRIVATE,1926,2017,36,4,Greenwin Corp.,2019-11-28,71,FALSE,,FALSE,,
2329 Kipling Ave,-79.5759961,43.731873,Rexdale-Kipling,TRUE,PRIVATE,1968,2017,40,5,Sunrise Property Management,2020-11-17,70,TRUE,2017-03-30,FALSE,,
2314 Islington Ave,-79.556044,43.716011,Rexdale-Kipling,TRUE,SOCIAL HOUSING,1977,2017,194,11,,2018-12-06,80,FALSE,,FALSE,,
50 Panorama Crt,-79.577064,43.748161,Mount Olive-Silverstone-Jamestown,TRUE,PRIVATE,1976,2017,223,19,H&R Property Management,2019-10-28,68,TRUE,2017-02-24,FALSE,,
2667 Kipling Ave,-79.583992,43.748905,Mount Olive-Silverstone-Jamestown,TRUE,PRIVATE,1978,2017,228,23,1241676 Ontario Inc,2020-10-22,79,FALSE,,FALSE,,
30 Hillsboro Ave,-79.392874,43.675666,Annex,TRUE,PRIVATE,1965,2017,196,24,,2019-11-26,84,FALSE,,FALSE,,
205 Morningside Ave,-79.1848262,43.7654072,West Hill,TRUE,PRIVATE,1961,2017,107,5,Cogir Real Estate,2019-11-28,81,TRUE,"2019-10-11, 2017-07-31",TRUE,2018,0.58%
90 Heath St W,-79.3989633,43.6898533,Yonge-St.Clair,TRUE,PRIVATE,1959,2017,37,3,Hollyburn Properties Ltd,2019-12-02,88,TRUE,2017-05-17,FALSE,,
70 Stevenvale Dr,-79.2213678,43.7589438,Woburn,TRUE,PRIVATE,1963,2017,100,6,Metcap Living Management Inc,2020-11-19,80,FALSE,,FALSE,,
3895 Lawrence Ave E,-79.207777,43.763143,Woburn,TRUE,PRIVATE,1975,2017,114,10,Metcap Living Management Inc,2019-11-28,83,FALSE,,FALSE,,
70 Mornelle Crt,-79.1978083,43.7868651,Morningside,TRUE,PRIVATE,1976,2017,264,16,Mornelle Court Apartments,2021-04-27,78,FALSE,,FALSE,,
4010 Lawrence Ave E,-79.199192,43.7667263,West Hill,TRUE,PRIVATE,1967,2017,220,14,Capreit,2019-11-28,83,TRUE,2017-05-29,FALSE,,
