Address,Longitude,Latitude,Landlord,Neighbourhood,Apartment Building,Apartment Building Property Type,Apartment Building Property Management,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By,Rooming House,Rooming House Status
135 Isabella St,-79.377284,43.669022,Toking Properties Corp,North St.James Town,TRUE,Privately owned,Unknown,1960,2017,79,9,2019-12-03,73,TRUE,2019-06-07,FALSE,,,FALSE,
80 Blake St,-79.3393776,43.6745205,Unknown,Blake-Jones,TRUE,Toronto Community Housing,TCH,1969,2017,190,14,2021-04-21,77,FALSE,,FALSE,,,FALSE,
40 Parkcrest Dr,-79.2199851,43.7353074,Jubal Enterprises Limited,Scarborough Village,TRUE,Privately owned,Canlight Management Inc.,1967,2017,100,12,2019-11-20,84,FALSE,,FALSE,,,FALSE,
3111 Eglinton Ave E,-79.2240382,43.7415977,Siteline (3111 Eglinton) Inc,Scarborough Village,TRUE,Privately owned,Cogir Management Corporation,1953,2017,68,6,2020-11-10,71,FALSE,,FALSE,,,FALSE,
450 B Scarborough Golf Club Rd,-79.215972,43.754423,Unknown,Woburn,TRUE,Social housing,Unknown,1991,2017,112,5,2021-04-22,86,FALSE,,FALSE,,,FALSE,
2788 Keele St,-79.4827839,43.7283162,The Merkur Group,Downsview-Roding-CFB,TRUE,Privately owned,Greenwin Corp.,1962,2017,41,4,2019-11-18,72,FALSE,,FALSE,,,FALSE,
2850 Keele St,-79.48358,43.7312543,907037 Ontario Inc,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1963,2017,12,3,2019-11-18,85,FALSE,,FALSE,,,FALSE,
1300 York Mills Rd,-79.323751,43.76197,Valleyyork Apts Inc,Parkwoods-Donalda,TRUE,Privately owned,Ranee Management,1965,2017,112,8,2021-04-19,74,FALSE,,FALSE,,,FALSE,
1531 Bathurst St,-79.4188901,43.6856499,Imh 1531-1539 Bathurst Ltd,Forest Hill South,TRUE,Privately owned,Unknown,1943,2017,32,4,2020-11-04,80,FALSE,,FALSE,,,FALSE,
612 Dawes Rd,-79.2958976,43.70738,Akelius Canada Ltd,O'Connor-Parkview,TRUE,Privately owned,Akelius Canada Ltd,1959,2017,60,5,2020-12-09,73,FALSE,,FALSE,,,FALSE,
114 Barrington Ave,-79.3026688,43.6923797,Unknown,Taylor-Massey,TRUE,Privately owned,Unknown,1968,2017,12,3,2020-11-18,70,FALSE,,FALSE,,,FALSE,
39 Raglan Ave,-79.4199518,43.6847848,39 Raglan Avenue Limited,Humewood-Cedarvale,TRUE,Privately owned,39 Raglan Ave Limited,1967,2017,101,9,2019-11-28,75,FALSE,,FALSE,,,FALSE,
1570 Bathurst St,-79.4198613,43.685997,Unknown,Humewood-Cedarvale,TRUE,Privately owned,Greenwin Corp.,1926,2017,36,4,2019-11-28,71,FALSE,,FALSE,,,FALSE,
2329 Kipling Ave,-79.5759961,43.731873,Stone Camp Holdings Ltd,Rexdale-Kipling,TRUE,Privately owned,Sunrise Property Management,1968,2017,40,5,2020-11-17,70,TRUE,2017-03-30,FALSE,,,FALSE,
2314 Islington Ave,-79.556044,43.716011,Rexdale Presbyterian Senior Citizens Corporation,Rexdale-Kipling,TRUE,Social housing,Unknown,1977,2017,194,11,2018-12-06,80,FALSE,,FALSE,,,FALSE,
50 Panorama Crt,-79.577064,43.748161,Cedar Grove Estates Inc,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,H&R Property Management,1976,2017,223,19,2019-10-28,68,TRUE,2017-02-24,FALSE,,,FALSE,
2667 Kipling Ave,-79.583992,43.748905,1241676 Ontario Inc,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,1241676 Ontario Inc,1978,2017,228,23,2020-10-22,79,FALSE,,FALSE,,,FALSE,
30 Hillsboro Ave,-79.392874,43.675666,Unknown,Annex,TRUE,Privately owned,Unknown,1965,2017,196,24,2019-11-26,84,FALSE,,FALSE,,,FALSE,
205 Morningside Ave,-79.1848262,43.7654072,Gf Ii 205 & 207 Morningside Avenue Ltd,West Hill,TRUE,Privately owned,Cogir Real Estate,1961,2017,107,5,2019-11-28,81,TRUE,"2019-10-11, 2017-07-31",TRUE,2018,0.58%,FALSE,
90 Heath St W,-79.3989633,43.6898533,Hollyburn Properties,Yonge-St.Clair,TRUE,Privately owned,Hollyburn Properties Ltd,1959,2017,37,3,2019-12-02,88,TRUE,2017-05-17,FALSE,,,FALSE,
70 Stevenvale Dr,-79.2213678,43.7589438,672278 Ontario Inc,Woburn,TRUE,Privately owned,Metcap Living Management Inc,1963,2017,100,6,2020-11-19,80,FALSE,,FALSE,,,FALSE,
3895 Lawrence Ave E,-79.207777,43.763143,Villa Siga Lawrence Inc,Woburn,TRUE,Privately owned,Metcap Living Management Inc,1975,2017,114,10,2019-11-28,83,FALSE,,FALSE,,,FALSE,
70 Mornelle Crt,-79.1978083,43.7868651,70 Mornelle Apts Ltd,Morningside,TRUE,Privately owned,Mornelle Court Apartments,1976,2017,264,16,2021-04-27,78,FALSE,,FALSE,,,FALSE,
4010 Lawrence Ave E,-79.199192,43.7667263,4000-4010 Lawrence Ave Inc,West Hill,TRUE,Privately owned,Capreit,1967,2017,220,14,2019-11-28,83,TRUE,2017-05-29,FALSE,,,FALSE,
2988 Keele St,-79.4848892,43.7362155,1884531 Ontario Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1954,,11,3,2020-11-12,67,FALSE,,FALSE,,,FALSE,
2954 Keele St,-79.4845615,43.7353489,Unknown,Downsview-Roding-CFB,TRUE,Privately owned,N/A,1954,2017,12,3,2019-11-08,74,FALSE,,FALSE,,,FALSE,
