rsn,address,bing_address,neighbourhood,apartment,property_type,year_built,year_registered,units,storeys,property_management_or_landlord,evaluation_completed_on,score,score_percent,score_bucket,score_colour,agi,date_agi_initiated,tdf,tdf_year,reduced_increase_by,eviction_hearing,hearings,geometry,tooltip
4153521,135 Isabella St,135 Isabella St,North St.James Town,TRUE,Private,1960,2017,79,9,Toking Properties,2019-12-03,73,73%,61% to 80%,#c994c7,TRUE,2019-06-07,FALSE,NA,NA,FALSE,NA,"c(-79.377284, 43.669022)",<b>135 Isabella St</b><br><b>Built</b>: 1960<br><b>Landlord/Management</b>: Toking Properties<br><b>Units</b>: 79<br><b>RentSafeTO Evaluation</b>: 73%<br><b>AGI Application</b>: 2019-06-07<br>
4156182,80 Blake St,80 Blake St,Blake-Jones,TRUE,TCHC,1969,2017,190,14,TCH,2021-04-21,77,77%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,2,"c(-79.3393776, 43.6745205)",<b>80 Blake St</b><br><b>Built</b>: 1969<br><b>Landlord/Management</b>: TCH<br><b>Units</b>: 190<br><b>RentSafeTO Evaluation</b>: 77%<br><b>Eviction Hearings</b>: 2<br>
4152784,40 Parkcrest Dr,40 Parkcrest Dr,Scarborough Village,TRUE,Private,1967,2017,100,12,Canlight Management Inc.,2019-11-20,84,84%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2199851, 43.7353074)",<b>40 Parkcrest Dr</b><br><b>Built</b>: 1967<br><b>Landlord/Management</b>: Canlight Management Inc.<br><b>Units</b>: 100<br><b>RentSafeTO Evaluation</b>: 84%<br>
4152788,3111 Eglinton Ave E,3111 Eglinton Ave E,Scarborough Village,TRUE,Private,1953,2017,68,6,Cogir Management Corporation,2020-11-10,71,71%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,5,"c(-79.2240382, 43.7415977)",<b>3111 Eglinton Ave E</b><br><b>Built</b>: 1953<br><b>Landlord/Management</b>: Cogir Management Corporation<br><b>Units</b>: 68<br><b>RentSafeTO Evaluation</b>: 71%<br><b>Eviction Hearings</b>: 5<br>
4152811,450 B Scarborough Golf Club Rd,450 Scarborough Golf Club Rd,Woburn,TRUE,Social Housing,1991,2017,112,5,NA,2021-04-22,86,86%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,TRUE,1,"c(-79.215972, 43.754423)",<b>450 B Scarborough Golf Club Rd</b><br><b>Built</b>: 1991<br><b>Units</b>: 112<br><b>RentSafeTO Evaluation</b>: 86%<br><b>Eviction Hearings</b>: 1<br>
4154411,2788 Keele St,2788 Keele St,Downsview-Roding-CFB,TRUE,Private,1962,2017,41,4,Greenwin Corp.,2019-11-18,72,72%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4827839, 43.7283162)",<b>2788 Keele St</b><br><b>Built</b>: 1962<br><b>Landlord/Management</b>: Greenwin Corp.<br><b>Units</b>: 41<br><b>RentSafeTO Evaluation</b>: 72%<br>
4154426,2850 Keele St,2850 Keele St,Downsview-Roding-CFB,TRUE,Private,1963,2017,12,3,NA,2019-11-18,85,85%,81% to 100%,#e7e1ef,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.48358, 43.7312543)",<b>2850 Keele St</b><br><b>Built</b>: 1963<br><b>Units</b>: 12<br><b>RentSafeTO Evaluation</b>: 85%<br>
4154917,1300 York Mills Rd,1300 York Mills Rd,Parkwoods-Donalda,TRUE,Private,1965,2017,112,8,Ranee Management,2021-04-19,74,74%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,TRUE,6,"c(-79.323751, 43.76197)",<b>1300 York Mills Rd</b><br><b>Built</b>: 1965<br><b>Landlord/Management</b>: Ranee Management<br><b>Units</b>: 112<br><b>RentSafeTO Evaluation</b>: 74%<br><b>Eviction Hearings</b>: 6<br>
4154934,1531 Bathurst St,1531 Bathurst St,Forest Hill South,TRUE,Private,1943,2017,32,4,NA,2020-11-04,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4188901, 43.6856499)",<b>1531 Bathurst St</b><br><b>Built</b>: 1943<br><b>Units</b>: 32<br><b>RentSafeTO Evaluation</b>: 80%<br>
4154048,612 Dawes Rd,612 Dawes Rd,O'Connor-Parkview,TRUE,Private,1959,2017,60,5,Akelius Canada Ltd,2020-12-09,73,73%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.2958976, 43.70738)",<b>612 Dawes Rd</b><br><b>Built</b>: 1959<br><b>Landlord/Management</b>: Akelius Canada Ltd<br><b>Units</b>: 60<br><b>RentSafeTO Evaluation</b>: 73%<br>
4154073,114 Barrington Ave,114 Barrington Ave,Taylor-Massey,TRUE,Private,1968,2017,12,3,NA,2020-11-18,70,70%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.3026688, 43.6923797)",<b>114 Barrington Ave</b><br><b>Built</b>: 1968<br><b>Units</b>: 12<br><b>RentSafeTO Evaluation</b>: 70%<br>
4154938,39 Raglan Ave,39 Raglan Ave,Humewood-Cedarvale,TRUE,Private,1967,2017,101,9,39 Raglan Ave Limited,2019-11-28,75,75%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4199518, 43.6847848)",<b>39 Raglan Ave</b><br><b>Built</b>: 1967<br><b>Landlord/Management</b>: 39 Raglan Ave Limited<br><b>Units</b>: 101<br><b>RentSafeTO Evaluation</b>: 75%<br>
4154947,1570 Bathurst St,1570 Bathurst St,Humewood-Cedarvale,TRUE,Private,1926,2017,36,4,Greenwin Corp.,2019-11-28,71,71%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.4198613, 43.685997)",<b>1570 Bathurst St</b><br><b>Built</b>: 1926<br><b>Landlord/Management</b>: Greenwin Corp.<br><b>Units</b>: 36<br><b>RentSafeTO Evaluation</b>: 71%<br>
4155429,2329 Kipling Ave,2329 Kipling Ave,Rexdale-Kipling,TRUE,Private,1968,2017,40,5,Sunrise Property Management,2020-11-17,70,70%,61% to 80%,#c994c7,TRUE,2017-03-30,FALSE,NA,NA,FALSE,NA,"c(-79.5759961, 43.731873)",<b>2329 Kipling Ave</b><br><b>Built</b>: 1968<br><b>Landlord/Management</b>: Sunrise Property Management<br><b>Units</b>: 40<br><b>RentSafeTO Evaluation</b>: 70%<br><b>AGI Application</b>: 2017-03-30<br>
4155446,2314 Islington Ave,2314 Islington Ave,Rexdale-Kipling,TRUE,Social Housing,1977,2017,194,11,NA,2018-12-06,80,80%,61% to 80%,#c994c7,FALSE,NA,FALSE,NA,NA,FALSE,NA,"c(-79.556044, 43.716011)",<b>2314 Islington Ave</b><br><b>Built</b>: 1977<br><b>Units</b>: 194<br><b>RentSafeTO Evaluation</b>: 80%<br>
4155450,50 Panorama Crt,50 Panorama Crt,Mount Olive-Silverstone-Jamestown,TRUE,Private,1976,2017,223,19,H&R Property Management,2019-10-28,68,68%,61% to 80%,#c994c7,TRUE,2017-02-24,FALSE,NA,NA,FALSE,NA,"c(-79.577064, 43.748161)",<b>50 Panorama Crt</b><br><b>Built</b>: 1976<br><b>Landlord/Management</b>: H&R Property Management<br><b>Units</b>: 223<br><b>RentSafeTO Evaluation</b>: 68%<br><b>AGI Application</b>: 2017-02-24<br>
